Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  8.26      1.25     1.25                             dlib::rectangle dlib::float_spatially_filter_image_separable<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >, dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >, dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout>, dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >(dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> > const&, dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >&, dlib::matrix_exp<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&, dlib::matrix_exp<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > const&, dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >&, bool)
  4.99      2.01     0.76                             dlib::operator*(dlib::simd4f const&, dlib::simd4f const&)
  4.89      2.75     0.74                             dlib::operator+(dlib::simd4f const&, dlib::simd4f const&)
  4.36      3.41     0.66                             dlib::simd4f::operator float __vector(4)() const
  3.57      3.95     0.54                             dlib::entropy_decoder_model_kernel_5<257ul, dlib::entropy_decoder_kernel_2, 200000ul, 4ul>::decode(unsigned long&)
  3.01      4.40     0.46                             dlib::simd8f::simd8f(dlib::simd4f const&, dlib::simd4f const&)
  2.71      4.81     0.41                             dlib::matrix_exp<dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::size() const
  2.61      5.21     0.40                             dlib::simd4f::simd4f(float)
  2.54      5.59     0.39                             dlib::select(dlib::simd4f_bool const&, dlib::simd4f const&, dlib::simd4f const&)
  2.38      5.95     0.36                             dlib::simd8f::low() const
  2.15      6.28     0.33                             dlib::simd4f::simd4f(float __vector(4) const&)
  1.92      6.57     0.29                             dlib::matrix_exp<dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::nc() const
  1.88      6.85     0.29                             dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::nr() const
  1.75      7.12     0.27                             dlib::entropy_decoder_model_kernel_5<257ul, dlib::entropy_decoder_kernel_2, 200000ul, 4ul>::is_excluded(unsigned short)
  1.75      7.38     0.27                             dlib::matrix_exp<dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::ref() const
  1.69      7.64     0.26                             dlib::operator+(dlib::simd8f const&, dlib::simd8f const&)
  1.69      7.89     0.26                             dlib::row_major_layout::layout<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, 3>::nr() const
  1.65      8.14     0.25                             dlib::matrix_exp<dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> > >::nr() const
  1.59      8.38     0.24                             dlib::const_temp_matrix<dlib::matrix<float, 0l, 1l, dlib::memory_manager_stateless_kernel_1<char>, dlib::row_major_layout> >::operator()(long) const
  1.45      8.60     0.22                             dlib::operator*(dlib::simd8f const&, dlib::simd8f const&)
  1.42      8.82     0.22                             dlib::const_image_view<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> > >::operator[](long) const
  1.39      9.03     0.21                             void dlib::impl_fhog::impl_extract_fhog_features<dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> >, dlib::array<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >, dlib::memory_manager_stateless_kernel_1<char> > >(dlib::array2d<dlib::rgb_pixel, dlib::memory_manager_stateless_kernel_1<char> > const&, dlib::array<dlib::array2d<float, dlib::memory_manager_stateless_kernel_1<char> >, dlib::memory_manager_stateless_kernel_1<char> >&, int, int, int)
  1.32      9.23     0.20                             dlib::operator+=(dlib::simd8f&, dlib::simd8f const&)
